159,3602 Stockton,13008042,Homrich,35033.85,HHF,No,3,Conant Gardens,42.427087,-83.067453
160,3414 Junction,16012964,Blue Star,24641.0,HHF,No,6,Central Southwest,42.329372,-83.109785
161,8327 Prairie,16023594,Able Demolition,16619.8,HHF,No,6,Midwest,42.355899,-83.143392
162,8216 American,16023654,Homrich,33555.0,Non-HHF,No,6,Midwest,42.355236,-83.143824
163,4627 Elmwood,13010541,Gayanga Co,19680.0,Non-HHF,No,5,McDougall-Hunt,42.365213,-83.03272700000001
164,19335 Spencer,15006117,Homrich,40473.86,HHF,No,3,Nortown,42.436527000000005,-83.026643
165,19374 Rogge,15006517,Homrich,18964.89,HHF,No,3,Nortown,42.437031,-83.029493
166,19377 Rogge,15006669,Homrich,27604.89,HHF,No,3,Nortown,42.437026,-83.030118
167,4019 Field,15007359,Salenbien Trucking & Excavating Inc.,33239.85,HHF,No,5,Gratiot-Grand,42.368604,-83.01468
168,5861 Hazlett,16013570,Den-Man Contractors,12350.0,Non-HHF,No,6,Midwest,42.345286,-83.122649
169,4627 Hammond,16015706,Blue Star,22299.0,HHF,No,6,Chadsey Condon,42.335428,-83.12083100000001
170,19180 Carrie,15008276,Homrich,22614.89,HHF,No,3,Nortown,42.435074,-83.030479
171,20032 Carrie,15008328,Homrich,14839.86,HHF,No,3,Sherwood,42.443145,-83.030351
172,20466 Carrie,15008359,Homrich,12380.88,HHF,No,3,Sherwood,42.446983,-83.030505
173,20127 Carrie,15008402,Homrich,13073.89,HHF,No,3,Sherwood,42.44397,-83.031068
174,19965 Carrie,15008417,Homrich,15311.89,HHF,No,3,Sherwood,42.442187,-83.030992
175,19691 Carrie,15008426,Homrich,23442.89,HHF,No,3,Nortown,42.440045,-83.031284
176,19199 Carrie,15008472,Homrich,19417.89,HHF,No,3,Nortown,42.435292,-83.031095
177,19158 Helen,15009159,Homrich,13141.89,HHF,No,3,Nortown,42.434765999999996,-83.031521
178,19309 Helen,15009367,Homrich,20431.89,HHF,No,3,Nortown,42.436060999999995,-83.032186
179,9117 Bryden,16024722,Homrich,25713.76,HHF,No,6,Midwest,42.36241,-83.14545600000001
180,8132 Central,16024836,Able Demolition,19542.8,HHF,No,6,Midwest,42.354024,-83.14585699999999
181,2565 Helen,15009795,Salenbien Trucking & Excavating Inc.,20023.97,HHF,No,5,Islandview,42.359271,-83.011772
182,2422 Canton,15009969,Salenbien Trucking & Excavating Inc.,30084.97,HHF,No,5,Islandview,42.3574,-83.01105799999999
183,20484 Concord,15011264,Homrich,15557.88,HHF,No,3,Sherwood,42.447081,-83.033603
184,14802 San Juan,16025423,Dore & Associates,19600.0,Non-HHF,No,7,Chalfonte,42.398196999999996,-83.145434
185,15868 Greenlawn,16029383,Blue Star,17784.1,HHF,No,2,Fitzgerald/Marygrove,42.408434,-83.15046
186,13725 St Louis,13011543,"Adamo Group, Inc.",35703.0,Non-HHF,No,3,Davison,42.417702,-83.039728
187,2151 Concord,15011734,Salenbien Trucking & Excavating Inc.,27546.97,HHF,No,5,Islandview,42.355090000000004,-83.011527
188,16935 Lilac,16026565,DMC Consultants,26213.0,Non-HHF,No,2,Fitzgerald/Marygrove,42.41657,-83.14738299999999
189,16589 Lilac,16026599,DMC Consultants,23472.0,Non-HHF,No,2,Fitzgerald/Marygrove,42.413525,-83.147274
190,16134 Tuller,16026861,DMC Consultants,18138.0,Non-HHF,No,2,Fitzgerald/Marygrove,42.410394000000004,-83.147589
191,16237 Tuller,16026994,DMC Consultants,28211.0,Non-HHF,No,2,Fitzgerald/Marygrove,42.411787,-83.148187
192,2371 Sharon,20008281,Homrich,8100.0,HHF,No,6,Springwells,42.308985,-83.136189
193,2029 Green,18009026,Homrich,22900.0,HHF,No,6,Springwells,42.3122,-83.12042
194,9203 Pierson,22107195,Homrich,11757.35,HHF,No,7,Franklin Park,42.361059999999995,-83.244897
195,9552 Minock,22090669,Homrich,15272.26,HHF,No,7,Franklin Park,42.365592,-83.232097
196,4206 Courville,21071430,"Adamo Group, Inc.",15100.0,Non-HHF,No,4,Morningside,42.397636999999996,-82.935271
197,22058 Willmarth,22014536,Salenbien Trucking & Excavating Inc.,23079.48,HHF,No,1,Old Redford,42.419356,-83.258834
198,17101 Curtis,22014804,Able Demolition,15632.0,HHF,No,2,College Park,42.422702,-83.211392
199,21545 Curtis,22015002,"Adamo Group, Inc.",19563.0,Non-HHF,No,1,Holcomb Community,42.421826,-83.255983
200,18270 Greydale,22015386,Den-Man Contractors,11675.8,HHF,No,1,Holcomb Community,42.422865,-83.256563
201,15236 Maddelein,21021385,DMC Consultants,15117.0,HHF,No,3,Regent Park,42.436083,-82.964642
202,15389 Meyers,22020348-9,Able Demolition,15532.34,HHF,No,2,Bethune Community,42.403886,-83.169809
203,9109 Meyers,22020676,Den-Man Contractors,13894.0,HHF,No,7,Barton-McFarland,42.361235,-83.168151
204,8931 Meyers,22020681,Den-Man Contractors,30675.0,HHF,No,7,Barton-McFarland,42.360644,-83.168132
205,8852 Appoline,22020781,Den-Man Contractors,14086.5,HHF,No,7,Barton-McFarland,42.359583,-83.168626
206,9900 Appoline,22020863,Salenbien Trucking & Excavating Inc.,12302.25,HHF,No,7,Barton-McFarland,42.368646000000005,-83.168863
207,15263 Rochelle,21015416,DMC Consultants,14634.0,HHF,No,4,Mapleridge,42.423426,-82.963771
208,18430 Hickory,21030234,DMC Consultants,20913.0,Non-HHF,No,3,Franklin,42.42994,-82.987016
209,19954 Lahser,22113535-6,Blue Star,14820.0,HHF,No,1,Evergreen Lahser 7/8,42.437603,-83.258224
210,8245 Braile,22106028,Salenbien Trucking & Excavating Inc.,18847.83,HHF,No,7,Warrendale,42.352675,-83.243424
211,9246 Pierson,22106254,Rickman Enterprise Group,15027.0,HHF,No,7,Franklin Park,42.361987,-83.244209
212,14444 Longview,21007484,Salenbien Trucking & Excavating Inc.,22545.27,HHF,No,4,Outer Drive-Hayes,42.410994,-82.967625
213,13326 Longview,21007508,Salenbien Trucking & Excavating Inc.,13572.27,HHF,No,4,Outer Drive-Hayes,42.409223,-82.97336700000001
214,13120 Longview,21007516,McDonagh Demolition Inc.,15020.41,HHF,No,4,Outer Drive-Hayes,42.408807,-82.97459
215,12312 Longview,21007575,Blue Star,18238.23,HHF,No,4,Wade,42.40591,-82.98298299999999
216,14469 Longview,21007810,Salenbien Trucking & Excavating Inc.,14383.27,HHF,No,4,Outer Drive-Hayes,42.411489,-82.967291
217,9409 Birwood,18016990,Able Demolition,24038.0,Non-HHF,No,7,Barton-McFarland,42.365474,-83.163372
218,5444 Seneca,17006737,Salenbien Trucking & Excavating Inc.,21422.85,HHF,No,5,Pingree Park,42.382293,-83.010552
219,5475 Seneca,17006926,Salenbien Trucking & Excavating Inc.,17915.35,HHF,No,5,Pingree Park,42.382453000000005,-83.01136
220,5427 Seneca,17006934,Salenbien Trucking & Excavating Inc.,17870.85,HHF,No,5,Pingree Park,42.381873,-83.01094
221,3685 Seminole,17008143,Salenbien Trucking & Excavating Inc.,18222.35,HHF,No,5,Pingree Park,42.369126,-83.004246
222,5063 Maxwell,17008577,Salenbien Trucking & Excavating Inc.,12283.85,HHF,No,5,Gratiot-Grand,42.377502,-83.01156800000001
223,2468 Van Dyke,17009242,Salenbien Trucking & Excavating Inc.,25937.85,HHF,No,5,Islandview,42.361523,-83.001813
224,4848 Seyburn,17010758,Salenbien Trucking & Excavating Inc.,24578.85,HHF,No,5,Gratiot-Grand,42.375443,-83.013224
225,4727 Baldwin,17011529,Salenbien Trucking & Excavating Inc.,20468.85,HHF,No,5,Gratiot-Grand,42.373388,-83.013976
226,3657 Baldwin,17011609,Salenbien Trucking & Excavating Inc.,45795.85,HHF,No,5,Gratiot-Grand,42.36675162,-83.00924876
