Address,Parcel ID,Contractor Name,Price,Primary Funding Source,Demolition Date,Commercial Building,Council_District,Neighborhood,Latitude,Longitude
16334 LOG CABIN,08009503.,"Adamo Group, Inc.","8,140.00",HHF,08/08/2014,No,2,Martin Park,42.411646999999995,-83.12125
15862 Muirland,12011729.,"Adamo Group, Inc.","5,104.00",HHF,08/13/2014,No,2,Pilgrim Village,42.408753000000004,-83.133289
15850 Petoskey,12012950.,"Adamo Group, Inc.","7,714.00",HHF,08/11/2014,No,2,Pilgrim Village,42.408478,-83.139173
15810 Petoskey,12012943.,"Adamo Group, Inc.","7,943.00",HHF,08/09/2014,No,2,Pilgrim Village,42.407907,-83.13915
15797 Holmur,12012502.,"Adamo Group, Inc.","9,577.00",HHF,08/07/2014,No,2,Pilgrim Village,42.407775,-83.13773
15738 Quincy,12012683.,"Adamo Group, Inc.","9,586.00",HHF,08/11/2014,No,2,Pilgrim Village,42.406940999999996,-83.138129
15555 Log Cabin,08009658.,"Adamo Group, Inc.","22,513.00",HHF,08/19/2014,No,2,Pilgrim Village,42.40633,-83.121687
15543 La Salle Blvd,08010461.,"Adamo Group, Inc.","15,895.00",HHF,08/07/2014,No,2,Pilgrim Village,42.406067,-83.125345
20018 Bradford,21035117.,"Adamo Group, Inc.","7,764.03",HHF,08/14/2014,No,3,Conner Creek,42.443937,-83.001035
12827 Buffalo,13015074.001,"Adamo Group, Inc.","14,764.75",HHF,09/02/2014,No,3,Buffalo Charles,42.412233,-83.04781
5122 Charles,13006814.,"Adamo Group, Inc.","13,712.21",HHF,09/03/2014,No,3,Buffalo Charles,42.411482,-83.05006999999999
2432 Cody,09005917.,"Adamo Group, Inc.","14,932.83",HHF,08/20/2014,No,3,Campau/Banglatown,42.408644,-83.070631
2450 Cody,09005914.,"Adamo Group, Inc.","15,244.01",HHF,08/21/2014,No,3,Campau/Banglatown,42.408756,-83.07033299999999
19209 Concord,15011377.,"Adamo Group, Inc.","11,917.24",HHF,08/21/2014,No,3,Nortown,42.435409,-83.033253
8575 Coyle,22045795.,"Adamo Group, Inc.","11,223.17",HHF,09/19/2014,No,7,Fiskhorn,42.356958,-83.192963
2933 Dearing,09006227.,"Adamo Group, Inc.","11,892.33",HHF,08/20/2014,No,3,Campau/Banglatown,42.412006,-83.067233
8054 Decatur,22032220.,"Adamo Group, Inc.","15,512.48",HHF,09/30/2014,No,7,Joy-Schaefer,42.352129999999995,-83.179236
8246 Decatur,22032241.,"Adamo Group, Inc.","7,052.96",HHF,11/26/2014,No,7,Joy-Schaefer,42.354335999999996,-83.17935200000001
19609 Dresden,21034861.,"Adamo Group, Inc.","16,053.25",HHF,08/16/2014,No,3,Pulaski,42.439743,-83.000339
19977 Dresden,21034833.,"Adamo Group, Inc.","14,842.74",HHF,08/11/2014,No,3,Conner Creek,42.443489,-83.000491
20027 Dresden,21034829.,"Adamo Group, Inc.","14,196.28",HHF,08/18/2014,No,3,Conner Creek,42.444059,-83.000508
20075 Dresden,21034823.,"Adamo Group, Inc.","13,386.92",HHF,09/08/2014,No,3,Conner Creek,42.444717,-83.00053299999999
16001 Eastburn,21025857.,"Adamo Group, Inc.","8,176.25",HHF,09/05/2014,No,3,Regent Park,42.445879999999995,-82.955889
15658 Fairmount Dr,21025168.002L,"Adamo Group, Inc.","14,869.99",HHF,08/21/2014,No,3,Regent Park,42.444409,-82.959727
16096 Fairmount Dr,21025138.,"Adamo Group, Inc.","9,854.38",HHF,08/25/2014,No,3,Regent Park,42.444526,-82.954054
18809 Gallagher,13023414.,"Adamo Group, Inc.","14,245.69",HHF,09/02/2014,No,3,Conant Gardens,42.431036999999996,-83.070087
5068 Garvin,13006654.,"Adamo Group, Inc.","14,724.40",HHF,08/23/2014,No,3,Buffalo Charles,42.41072,-83.051036
2936 Grant,09006247.,"Adamo Group, Inc.","10,325.06",HHF,09/12/2014,No,3,Campau/Banglatown,42.412327000000005,-83.06732
19203 Bradford,21035240.,"Adamo Group, Inc.","7,998.51",HHF,08/06/2014,No,3,Pulaski,42.436098,-83.001389
19536 Bradford,21035077.,"Adamo Group, Inc.","14,623.40",HHF,08/07/2014,No,3,Pulaski,42.438747,-83.000827
20035 Bradford,21035172.,"Adamo Group, Inc.","14,112.36",HHF,08/11/2014,No,3,Conner Creek,42.444140000000004,-83.001731
20066 Bradford,21035123.,"Adamo Group, Inc.","9,078.46",HHF,08/08/2014,No,3,Conner Creek,42.444595,-83.001059
20090 Bradford,21035126.,"Adamo Group, Inc.","14,622.08",HHF,08/18/2014,No,3,Conner Creek,42.444925,-83.001072
20299 Bradford,21035149.,"Adamo Group, Inc.","13,131.64",HHF,09/08/2014,No,3,Conner Creek,42.4468,-83.00183100000001
19973 Bradford,21035178.,"Adamo Group, Inc.","10,679.59",HHF,08/11/2014,No,3,Conner Creek,42.443344,-83.001705
12876 Caldwell,13014139-40,"Adamo Group, Inc.","11,300.08",HHF,09/02/2014,No,3,Buffalo Charles,42.41295,-83.04628199999999
5193 Casmere,13005890.,"Adamo Group, Inc.","14,375.63",HHF,09/03/2014,No,3,Buffalo Charles,42.40737,-83.047818
19001 Charest,13023734.,"Adamo Group, Inc.","9,011.38",HHF,07/29/2014,No,3,Conant Gardens,42.432116,-83.071114
9720 Kensington,21072886.,"Adamo Group, Inc.","14,540.27",HHF,10/06/2014,No,4,Yorkshire Woods,42.41531,-82.944376
5200 Lakeview,21052367.,"Adamo Group, Inc.","15,136.07",HHF,10/02/2014,No,4,Chandler Park,42.395732,-82.964221
5808 Lakeview,21052408.,"Adamo Group, Inc.","13,426.10",HHF,10/02/2014,No,4,Chandler Park,42.400271999999994,-82.96723
5911 Lenox,21049914.,"Adamo Group, Inc.","12,614.73",HHF,09/30/2014,No,4,Chandler Park,42.399508000000004,-82.970821
5925 Lenox,21049912.,"Adamo Group, Inc.","15,397.86",HHF,09/30/2014,No,4,Chandler Park,42.39968,-82.970935
5939 Lenox,21049910.,"Adamo Group, Inc.","12,679.82",HHF,10/01/2014,No,4,Chandler Park,42.399853,-82.97105
9729 Kensington,21072914.,"Adamo Group, Inc.","19,823.58",HHF,10/06/2014,No,4,Yorkshire Woods,42.415006,-82.94478199999999
15216 Linnhurst,21018369.,"Adamo Group, Inc.","15,881.65",HHF,09/16/2014,No,4,Mapleridge,42.431389,-82.964979
15502 Evanston,21004912.,"Adamo Group, Inc.","7,941.20",HHF,09/25/2014,No,4,Outer Drive-Hayes,42.408169,-82.954406
15311 Linnhurst,21018625.,"Adamo Group, Inc.","7,802.23",HHF,09/27/2014,No,4,Mapleridge,42.431841999999996,-82.96328000000001
15245 Linnhurst,21018617.,"Adamo Group, Inc.","10,414.33",HHF,09/15/2014,No,4,Mapleridge,42.431821,-82.964465
19324 Houghton,22115382.,Homrich,"13,700.00",HHF,02/23/2015,No,1,Berg-Lahser,42.432337,-83.260615
19435 Houghton,22115436.015,Homrich,"22,900.00",HHF,03/16/2015,No,1,Berg-Lahser,42.433333000000005,-83.261325
19449 Houghton,22115436.014,Homrich,"21,600.00",HHF,03/24/2015,No,1,Berg-Lahser,42.433465999999996,-83.26133
19705 Houghton,22115436.006,Homrich,"22,700.00",HHF,02/23/2015,No,1,Berg-Lahser,42.434652,-83.261385
21145 Karl,22015359.,Homrich,"21,400.00",HHF,11/18/2014,No,1,Holcomb Community,42.422507,-83.25036800000001
21444 Karl,22015445.,Homrich,"15,600.00",HHF,11/18/2014,No,1,Holcomb Community,42.423531,-83.254181
18142 Kentfield,22100338.,Homrich,"15,300.00",HHF,11/18/2014,No,1,Holcomb Community,42.422249,-83.241171
21203 Margareta,22015670.,Homrich,"22,800.00",HHF,11/17/2014,No,1,Holcomb Community,42.424934,-83.251572
21232 Margareta,22015740.,Homrich,"18,100.00",HHF,11/17/2014,No,1,Holcomb Community,42.425546999999995,-83.252136
