Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,12479,12738,12925,13172,13516,12491,12979,13634,14033,14177,14704,14411,14243,14268,14700,14961,15516,15805,15826,14893,15460,15887,16320,16346,16496,16850
"Micronesia, Fed. Sts.",2763,2894,2933,3094,3016,3185,3063,2873,2966,3018,3167,3230,3256,3320,3220,3301,3312,3262,3197,3243,3337,3412,3428,3286,3475,3510
Moldova,6440,5395,3822,3780,2620,2596,2466,2515,2353,2276,2329,2476,2676,2860,3080,3318,3487,3603,3890,3661,3925,4179,4151,4542,4754,4896
Monaco,43173,43365,43703,43063,43791,44514,44836,45690,47144,48523,50200,50855,51060,51275,52196,52761,54636,60930,59857,53735,54146,58081,58081,57886,61738,63472
Mongolia,5122,4606,4132,3966,4020,4244,4304,4435,4544,4643,4655,4748,4925,5216,5706,6047,6480,7046,7563,7357,7708,8905,9851,10833,11509,11819
Montenegro,16136,14269,10808,6780,6788,7635,9559,9978,10482,9506,9803,9871,10019,10228,10659,11090,12025,13288,14183,13352,13656,14082,13712,14156,14358,14833
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,3901,4119,3930,3825,4197,3870,4325,4177,4448,4414,4430,4710,4815,5067,5259,5363,5725,5825,6091,6313,6466,6698,6777,6967,7040,7319
Mozambique,462,473,435,455,468,465,485,520,562,592,583,634,671,692,732,774,801,835,864,893,930,974,1017,1064,1115,1176
Myanmar,1775,1741,1784,1809,1839,1868,1895,1919,1944,1998,2069,2129,2196,2276,2351,2339,2593,2846,2891,2979,3077,3181,3346,3526,3727,4012
Namibia,5717,5970,6198,5921,5850,5900,5906,5971,5991,6035,6111,6076,6279,6470,7184,7279,7696,8095,8169,8090,8433,8715,8995,9275,9506,10040
Nauru,30647,24303,19946,16430,15564,14177,12418,10988,9952,9308,8671,8076,7257,7261,6936,6097,4897,4925,9657,7920,9523,10879,13071,13568,15227,16686
Nepal,1240,1287,1306,1321,1393,1405,1443,1478,1487,1517,1577,1619,1591,1626,1675,1708,1741,1779,1866,1929,1999,2044,2118,2173,2265,2352
Netherlands,32534,33066,33377,33562,34348,35244,36152,37414,38816,40306,41771,42130,41848,41761,42389,43243,44823,46605,47388,45590,45843,46388,45484,45021,45281,45784
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,
